"SPECCD_ID","SCIENTIFIC","COMMON","MARFIS_CODE"
91,"SELENE VOMER","ATLANTIC LOOKDOWN",NA
92,"SERIOLA DUMERILI","GREATER AMBERJACK",NA
93,"TRACHURUS TRACHURUS","HORSE MACKEREL",NA
94,"VOMER SETAPINNIS","ATLANTIC MOONFISH",NA
95,"BRAMA BRAMA","ATLANTIC POMFRET",NA
96,"TARACTICHTHYS LONGIPINNIS","BIGSCALE POMFRET",NA
97,"CARISTIUS GROENLANDICUS","GREENLAND MANEFISH",NA
98,"LUTJANUS SP.","LUTJANUS SP.",NA
99,"ARCHOSARGUS PROBATOCEPHALUS","SHEEPSHEAD",NA
100,"FINFISHES (NS)","FINFISHES (NS)",NA
101,"GADOIDEI S.O.","GADOIDS",NA
102,"STENOTOMUS CHRYSOPS","SCUP",NA
103,"CYNOSCION REGALIS","WEAKFISH",NA
104,"POGONIAS CROMIS","BLACK DRUM",NA
105,"MULLUS AURATUS","RED GOATFISH",NA
106,"KYPHOSUS SECTATRIX","BERMUDA CHUB",NA
107,"CHAETODON OCELLATUS","SPOTFIN BUTTERFLYFISH",NA
108,"LEPIDION EQUES","LEPIDION EQUES",NA
109,"HALARGYREUS JOHNSONII","DAINTY MORA",NA
110,"BOREOGADUS SAIDA","ARCTIC COD",102
111,"UROPHYCIS REGIA","SPOTTED HAKE",NA
112,"UROPHYCIS CHESTERI","LONGFIN HAKE",NA
113,"ANTIMORA ROSTRATA","BLUE ANTIMORA/HAKE",NA
114,"ENCHELYOPUS CIMBRIUS","FOURBEARD ROCKLING",NA
115,"GAIDROPSARUS ENSIS","THREEBEARD ROCKLING",NA
116,"GAIDROPSARUS ARGENTATUS","SILVER ROCKLING",NA
117,"MICROMESISTIUS POUTASSOU","BLUE WHITING",NA
118,"GADUS OGAC","GREENLAND COD",NA
119,"GAIDROPSARUS SP.","ROCKLING UNIDENTIFIED",NA
120,"MORONE AMERICANA","WHITE PERCH",NA
121,"CENTROPRISTIS STRIATA","SOUTHERN SEA BASS",NA
122,"TAUTOGOLABRUS ADSPERSUS","CUNNER",121
123,"HELICOLENUS DACTYLOPTERUS","ROSEFISH(BLACK BELLY)",NA
124,"CENTROBRANCHUS NIGRO-OCELLATUS","CENTROBRANCHUS NIGRO-OCEL",NA
125,"DIAPHUS EFFULGENS","DIAPHUS EFFULGENS",NA
126,"DIAPHUS PERSPICILLATUS","DIAPHUS PERSPICILLATUS",NA
127,"DIAPHUS LUETKENI","DIAPHUS LUETKENI",NA
128,"DIAPHUS MOLLIS","DIAPHUS MOLLIS",NA
129,"DIAPHUS RAFINESQUII","DIAPHUS RAFINESQUII",NA
130,"DIAPHUS TERMOPHILUS","DIAPHUS TERMOPHILUS",NA
131,"ELECTRONA RISSOI","ELECTRONA RISSOI",NA
132,"GONICHTHYS COCCOI","COCCO'S LANTERNFISH",NA
133,"PROTOMYCTOPHUM ARCTICUM - OBSOLETE","PROTOMYCTOPHUM ARCTICUM",NA
134,"HYGOPHUM BENOITI","BENOIT'S LANTERNFISH",NA
135,"HYGOPHUM HYGOMI","HYGOPHUM HYGOMI",NA
136,"HYGOPHUM MACROCHIR","HYGOPHUM MACROCHIR",NA
137,"LAMPADENA LUMINOSA","LAMPADENA NITIDA",NA
138,"LAMPADENA SPECULIGERA","MIRROR LANTERNFISH",NA
139,"LAMPANYCTUS ALATUS","LAMPANYCTUS ALATUS",NA
140,"LIOPSETTA PUTNAMI","SMOOTH FLOUNDER",NA
141,"PARALICHTHYS DENTATUS","SUMMER FLOUNDER",146
142,"HIPPOGLOSSINA OBLONGA","FOURSPOT FLOUNDER",NA
143,"SCOPHTHALMUS AQUOSUS","BRILL/WINDOWPANE",145
144,"LAMPANYCTUS CROCODILUS","JEWEL LANTERNFISH",NA
145,"LAMPANYCTUS FESTIVUS","LAMPANYCTUS FESTIVUS",NA
146,"LAMPANYCTUS MACDONALDI","LAMPANYCTUS MACDONALDI",NA
147,"LAMPANYCTUS PUSILLUS","LAMPANYCTUS PUSILLUS",NA
148,"BATHYPTEROIS DUBIUS","NOTCH FEELERFISH",NA
149,"PARASUDIS TRUCULENTA","LONGNOSE GREENEYE",NA
150,"MYCTOPHIDAE","LANTERNFISH (NS)",NA
151,"STOMIIDAE","STOMIATOID UNIDENTIFIED",NA
152,"DIAPHUS DUMERILI","LANTERNFISH",NA
153,"ARGENTINOIDEI S.O.","ARGENTINOID (NS)",NA
154,"CYCLOTHONE MICRODON","VEILED ANGLE MOUTH",NA
155,"GONOSTOMA ELONGATUM","LONGTOOTH ANGLEMOUTH",NA
156,"CHLOROPHTHALMUS AGASSIZI","SHORT-NOSE GREENEYE",NA
157,"BENTHOSEMA GLACIALE","GLACIER LANTERNFISH",NA
158,"MAUROLICUS MUELLERI","MULLER'S PEARLSIDES",NA
159,"STOMIAS BOA","BOA DRAGONFISH",NA
160,"ARGENTINA SILUS","ARGENTINE(ATLANTIC)",351
161,"ARGENTINA STRIATA","STRIATED ARGENTINE",NA
162,"NANSENIA GROENLANDICA","ARGENTINE.LARGE-EYED",NA
163,"CERATOSCOPELUS MADERENSIS","LANTERNFISH,HORNED",NA
164,"BREVOORTIA TYRANNUS","MENHADEN(ATLANTIC)",210
165,"ALOSA AESTIVALIS","BLUEBACK HERRING",NA
166,"ETRUMEUS TERES","ROUND HERRING",NA
167,"MEGALOPS ATLANTICUS","TARPON",NA
168,"DIAPHUS METOPOCLAMPUS","HEADLIGHT FISH",NA
169,"CHAULIODUS SLOANI","VIPERFISH",NA
170,"SCOMBER JAPONICUS","CHUB MACKEREL",NA
171,"SCOMBEROMORUS MACULATUS","SPANISH MACKEREL",NA
172,"EUTHYNNUS PELAMIS","STRIPED BONITO/SKIPJACK",255
173,"EUTHYNNUS ALLETTERATUS","FALSE ALBACORE",NA
174,"CARANGIDAE","JACK",NA
175,"ALBULA VULPES","BONEFISH",NA
176,"BATHYLAGUS EURYOPS","GOITRE BLACKSMELT",NA
177,"MALACOSTEUS NIGER","LOOSEJAW",NA
178,"LOBIANCHIA GEMELLERII","LOBIANCHIA GEMELLERII",NA
179,"MYCTOPHUM AFFINE","METALLIC LANTERNFISH",NA
180,"MYCTOPHUM PUNCTATUM","SPOTTED LANTERNFISH",NA
181,"NOTOLYCHNUS VALDIVIAE","NOTOLYCHNUS VALDIVIAE",NA
182,"NOTOSCOPELUS ELONGATUS KROYERI","LANTERNFISH KROYER'S",NA
183,"NOTOSCOPELUS RESPLENDENS","LANTERNFISH PATCHWORK",NA
184,"SYMBOLOPHORUS VERANYI","LARGESCALE LANTERNFISH",NA
185,"TAANINGICHTHYS BATHYPHILUS","TAANINGICHTHYS BATHYPHILU",NA
186,"TAANINGICHTHYS MINIMUS","TAANINGICHTHYS MINIMUS",NA
187,"AUXIS THAZARD","FRIGATE MACKEREL",NA
188,"SARDA SARDA","ATLANTIC BONITO",NA
189,"SCOMBEROMORUS  CAVALLA","KING MACKEREL",NA
190,"THUNNUS ALALUNGA","ALBACORE TUNA",252
191,"THUNNUS ALBACARES","YELLOWFIN TUNA",256
192,"THUNNUS OBESUS","BIGEYE TUNA",253
193,"UROPHYCIS SP.","HAKE (NS)",NA
194,"MORIDAE","MORAS",NA
195,"ENCHELYOPUS/UROPHYCIS SP.","ROCKLING HAKE",NA
196,"BOTHIDAE F.","LEFTEYE FLOUNDER",NA
197,"SCARIDAE F.","PARROTFISH",NA
198,"SYACIUM SP.","CHANNEL FLOUNDER",NA
199,"LABROIDEI S.O.","LABROIDEI S.O.",NA
200,"DIPTURUS LAEVIS","BARNDOOR SKATE",157
201,"AMBLYRAJA RADIATA","THORNY SKATE",155
202,"MALACORAJA SENTA","SMOOTH SKATE",154
203,"LEUCORAJA ERINACEA","LITTLE SKATE",159
204,"LEUCORAJA OCELLATA","WINTER SKATE",156
205,"BATHYRAJA SPINICAUDA","SPINYTAIL SKATE",153
206,"RAJA EGLANTERIA","BRIER SKATE",NA
207,"RAJELLA FYLLAE","ROUND SKATE",NA
208,"RAJA MOLLIS","SOFT SKATE",NA
209,"RAJA JENSENI","JENSEN'S SKATE",NA
210,"RAJA HYPERBOREA","ARCTIC SKATE",158
211,"RAJIDAE F.","SKATES (NS)",160
212,"RAJA BATHYPHILA","ABYSSAL SKATE",NA
213,"DASYATIS CENTROURA","ROUGHTAIL STINGRAY",NA
214,"MYLIOBATIFORMES O. (NS)","RAYS (NS)",NA
215,"CARCHARIAS TAURUS","SHARK, SAND",NA
216,"TORPEDO NOBILIANA","ATLANTIC TORPEDO",152
217,"RAJA LINTEA","WHITE SKATE",NA
218,"DASYATIS VIOLACEA","PELAGIC STINGRAY",NA
219,"RAJIFORMES","SKATES AND RAYS (NS)",NA
220,"SQUALUS ACANTHIAS","SPINY DOGFISH",161
221,"CENTROSCYLLIUM FABRICII","BLACK DOGFISH",162
222,"MUSTELUS CANIS","SMOOTH DOGFISH",NA
223,"CENTROSCYMNUS COELOLEPIS","PORTUGUESE SHARK",NA
224,"ETMOPTERUS PRINCEPS","ROUGH SAGRE",NA
225,"MANTA BIROSTRIS","ATLANTIC MANTA",NA
226,"PROTOMYCTOPHUM ARCTICUM","PROTOMYCTOPHUM ARCTICUM",NA
227,"NOTOSCOPELUS SP.","NOTOSCOPELUS SP.",NA
228,"LEPIDOPHANES GUENTHERI","LEPIDOPHANES GUENTHERI",NA
229,"DIAPHUS SP.","DIAPHUS SP.",NA
230,"LAMNA NASUS","PORBEAGLE,MACKEREL SHARK",369
231,"PRIONACE GLAUCA","BLUE SHARK",372
232,"CARCHARODON CARCHARIAS","WHITE SHARK",380
233,"CETORHINUS MAXIMUS","BASKING SHARK",371
234,"ALOPIAS VULPINUS","THRESHER SHARK",373
235,"RHIZOPRIONODON TERRAENOVAE","ATLANTIC SHARPNOSE SHARK",378
236,"SPHYRNA ZYGAENA","SMOOTH,HAMMERHEAD SHARK",NA
237,"SOMNIOSUS MICROCEPHALUS","GREENLAND SHARK",370
238,"ISURUS OXYRINCHUS","SHORTFIN MAKO",375
239,"APRISTURUS PROFUNDORUM","DEEPSEA CAT SHARK",NA
240,"PETROMYZON MARINUS","SEA LAMPREY",NA
241,"MYXINE GLUTINOSA","NORTHERN HAGFISH",197
242,"HYDROLAGUS AFFINIS","DEEPWATER CHIMAERA",NA
243,"ACIPENSER OXYRHYNCHUS","AMERICAN ATLANT STURGEON",NA
244,"CARCHARHINUS LONGIMANUS","OCEANIC WHITETIP SHARK",NA
245,"CARCHARHINUS MILBERTI","SANDBAR SHARK",NA
246,"CARCHARHINUS OBSCURUS","DUSKY SHARK",377
247,"HARRIOTTA RALEIGHANA","LONGNOSE CHIMERA",NA
248,"RHINOCHIMAERA ATLANTICA","KNIFENOSE CHIMERA",NA
249,"ACIPENSER BREVIROSTRUM","SHORTNOSE STURGEON",NA
250,"LEPISOSTEUS OSSEUS","LONGNOSE GAR",NA
251,"GADIDAE F.","GADOIDS (COD)",NA
252,"LAMPANYCTUS SP.","LAMPANYCTUS SP.",NA
253,"GROUNDFISH (NS)","GROUNDFISH (NS)",NA
254,"ANCHOA MITCHILLI","BAY ANCHOVY",NA
255,"ISTIOPHORUS PLATYPTERUS","SAILFISH",NA
256,"PELAGIC FISH (NS)","PELAGIC FISH (NS)",NA
257,"SERIOLA SP.","AMBERJACKS",NA
258,"MICROPOGONIAS UNDULATUS","ATLANTIC CROAKER",NA
259,"STRONGYLURA MARINA","ATLANTIC NEEDLEFISH",NA
260,"OPISTHONEMA OGLINUM","ATLANTIC THREAD HERRING",NA
261,"TRACHINOTUS CAROLINUS","COMMON POMPANO",NA
262,"DOROSOMA CEPEDIANUM","GIZZARD SHAD",NA
263,"POMADASYIDAE F.","GRUNTS (GRUNTERS)",NA
264,"ALOSA MEDIOCRIS","HICKORY SHAD",NA
265,"MUGILIDAE F.","MULLETS",NA
266,"ORTHOPRISTIS CHRYSOPTERA","PIGFISH",NA
267,"SCIAENOPS OCELLATUS","RED DRUM",NA
268,"PAGRUS  PAGRUS","RED PORGY",NA
269,"TRACHURUS LATHAMI","ROUGH SCAD",NA
270,"LEIOSTOMUS XANTHURUS","SPOT CROAKER",NA
271,"CYNOSCION NEBULOSUS","SPOTTED WEAKFISH",NA
272,"ACIPENSERIDAE F.","STURGEONS",NA
273,"SALMO SP.","TROUTS",NA
274,"SQUALIDAE F.","DOGFISHES (NS)",NA
275,"SELACHII (CHONDRICHTHYES) C.","CARTILAGINOUS FISHES",NA
276,"BATHYLAGIDAE F.","DEEPSEA SMELTS (NS)",NA
277,"TRICHOPSETTA SP.","TRICHOPSETTA SP.",NA
278,"SCORPAENA SP.","ROCKFISHES (NS)",NA
279,"SYMBOLOPHORUS SP.","SYMBOLOPHORUS SP.",NA
280,"SCORPAENIDAE F.","SCORPIONFISHES",NA
281,"ALOSA SP.","ALOSA SP.",NA
282,"SYACIUM MICRURUM","CHANNEL FLOUNDER",NA
283,"SEBASTES FASCIATUS","LABRADOR REDFISH",NA
284,"LAMPANYCTUS ATER","LAMPANYCTUS ATER",NA
285,"NAUCRATES SP.","NAUCRATES SP.",NA
286,"BENTHOSEMA SP.","BENTHOSEMA SP.",NA
287,"NOTOSCOPELUS BOLINI","NOTOSCOPELUS BOLINI",NA
288,"ARGENTINIDAE F.","ARGENTINES (NS)",NA
289,"CAULOLATILUS SP.","CAULOLATILUS SP.",NA
290,"CLUPEIDAE/OSMERIDAE F.","HERRING/CAPELIN LIKE",NA
291,"BATHYLAGUS COMPSUS","BATHYLAGUS COMPSUS",NA
292,"BOLINICHTHYS PHOTOTHORAX","BOLINICHTHYS PHOTOTHORAX",NA
293,"CERATOSCOPELUS SP.","CERATOSCOPELUS SP.",NA
294,"SALMONIFORMES O.","SALMONIFORMES",NA
295,"BATHYLAGUS SP.","BATHYLAGUS",NA
296,"GEMPYLIDAE F.","SNAKE MACKERELS (NS)",NA
297,"SVETOVIDOVIA SP.","SVETOVIDOVIA SP.",NA
298,"LOPHIIFORMES O.","LOPHIIFORMES",NA
299,"SCORPAENIFORMES (ORDER)","SCORPAENIFORMES (ORDER)",NA
300,"MYOXOCEPHALUS OCTODECEMSPINOSUS","LONGHORN SCULPIN",NA
301,"MYOXOCEPHALUS SCORPIUS","SHORTHORN SCULPIN",NA
302,"GYMNOCANTHUS TRICUSPIS","ARCTIC STAGHORN SCULPIN",NA
303,"MYOXOCEPHALUS AENAEUS","GRUBBY OR LITTLE SCULPIN",NA
304,"TRIGLOPS MURRAYI","MAILED SCULPIN",NA
305,"TRIGLOPS NYBELINI","NYBELIN S SCULPIN",NA
306,"ARTEDIELLUS UNCINATUS","ARCTIC HOOKEAR SCULPIN",NA
307,"COTTUNCULUS MICROPS","POLAR SCULPIN",NA
308,"COTTUNCULUS THOMPSONI","PALLID SCULPIN",NA
309,"TRIGLOPS SP.","SCULPIN (NS)",NA
310,"MYOXOCEPHALUS SP.","SCULPIN",NA
311,"COTTIDAE F. UNID.","SCULPIN UNIDENTIFIED",NA
312,"COTTIDAE F.","SCULPINS",NA
313,"ICELUS BICORNIS","TWOHORN SCULPIN",NA
314,"ICELUS SPATULA","SPATULATE SCULPIN",NA
315,"MYOXOCEPHALUS QUADRICORNIS","FOURHORN SCULPIN",NA
316,"MYOXOCEPHALUS SCORPIOIDES","ARCTIC SCULPIN",NA
317,"TRIGLOPS PINGELI","RIBBED SCULPIN",NA
318,"ICELUS SP.","SCULPIN",NA
319,"LAEMONEMA BARBATULUM","LAEMONEMA BARBATULUM",NA
320,"HEMITRIPTERUS AMERICANUS","SEA RAVEN",NA
321,"THUNNUS SP.","THUNNUS SP.",NA
322,"CYCLOTHONE PSEUDOPALLIDA","CYCLOTHONE PSEUDOPALLIDA",NA
323,"ARTEDIELLUS SP.","HOOKEAR SCULPIN (NS)",NA
324,"MONOLENE ANTILLARUM","MONOLENE ANTILLARUM",NA
325,"ENGYOPHRYS SENTA","ENGYOPHRYS SENTA",NA
326,"SPARIDAE F.","PORGIES (NS)",NA
327,"MYCTOPHUM ASPERUM","MYCTOPHUM ASPERUM",NA
328,"CHAETODONTIDAE F.","BUTTERFLYFISHES (NS)",NA
329,"TRIGLIDAE F.","SEAROBINS",NA
330,"PRIONOTUS CAROLINUS","NORTHERN,COMMON  SEAROBIN",NA
331,"PERISTEDION MINIATUM","ARMORED SEA ROBIN",NA
332,"PRIONOTUS EVOLANS","STRIPED SEAROBIN",NA
333,"TRICHOPSETTA ORBISULCUS","TRICHOPSETTA ORBISULCUS",NA
334,"CHAULIODUS DANAE","CHAULIODUS DANAE",NA
335,"CHAULIODUS SP.","CHAULIODUS SP.",NA
336,"CLUPEIDAE F.","HERRING (NS)",NA
337,"OSMERIDAE F.","SMELTS,CAPELIN (NS)",NA
338,"ARISTOSTOMIAS SP.","ARISTOSTOMIAS SP.",NA
339,"SYNODONTIDAE F.","LIZARDFISHES",NA
340,"ASPIDOPHOROIDES MONOPTERYGIUS","ALLIGATORFISH",NA
341,"ASPIDOPHOROIDES OLRIKI","ARCTIC ALLIGATORFISH",NA
342,"HYGOPHUM REINHARDTII","HYGOPHUM REINHARDTII",NA
343,"LAMPADENA SP.","LAMPADENA SP.",NA
344,"ETROPUS CROSSOTUS","FRINGED FLOUNDER",NA
345,"CYCLOPSETTA FIMBRIATA","SPOTFIN FLOUNDER",NA
346,"PLEURONECTIFORMES O.","FLATFISH",NA
347,"BATHYLAGUS GREYAE","BATHYLAGUS GREYAE",NA
348,"VINCIGUERRIA SP.","VINCIGUERRIA SP.",NA
349,"ELOPS SAURUS","LADYFISH",NA
350,"LEPTAGONUS DECAGONUS","ATLANTIC SEA POACHER",NA
351,"AGONIDAE F.","ALLIGATOR FISH (NS)",NA
352,"PRIACANTHIDAE F.","BIGEYES (NS)",NA
353,"PRIACANTHUS ARENATUS","BIGEYE",NA
354,"BROSMICULUS IMBERBIS","BROSMICULUS IMBERBIS",NA
355,"REGALECUS GLESNE","REGALECUS GLESNE",NA
356,"RONDELETIA LORICATA","RONDELETIA LORICATA",NA
357,"MELANONUS ZUGMAYERI","MELANONUS ZUGMAYERI",NA
358,"TRACHYSCORPIA CRISTULATA","ATLANTIC THORNYHEAD",NA
359,"DIPLOSPINUS MULTISTRIATUS","DIPLOSPINUS MULTISTRIATUS",NA
360,"GASTEROSTEIDAE F.","STICKLEBACK UNIDENTIFIED",NA
361,"GASTEROSTEUS ACULEATUS","THREESPINE STICKLEBACK",NA
362,"PUNGITIUS PUNGITIUS","NINESPINE STICKLEBACK",NA
363,"APELTES QUADRACUS","FOURSPINE STICKLEBACK",NA
364,"GASTEROSTEUS WHEATLANDI","BLACKSPOTTED STICKLEBACK",NA
365,"BREGMACEROS ATLANTICUS","BREGMACEROS ATLANTICUS",NA
366,"ANTIGONIA COMBATIA","SHORTSPINE BOARFISH",NA
367,"DIODON HOLOCANTHUS","BALLONFISH",NA
368,"MELAMPHAES PUMILUS","MELAMPHAES PUMILUS",NA
369,"CHLOPSIS SP.","CHLOPSIS SP.",NA
370,"MYCTOPHUM SP.","MYCTOPHUM SP.",NA
371,"HEMIPTERONOTUS SP.","HEMIPTERONOTUS SP.",NA
372,"THALASSOMA BIFASCIATUM","THALASSOMA BIFASCIATUM",NA
373,"MELANOCETUS SP.","MELANOCETUS SP.",NA
374,"HEMANTHIAS SP.","HEMANTHIAS SP.",NA
375,"ANTENNARIUS SP.","ANTENNARIUS SP.",NA
376,"POLYIPNUS SP.","POLYIPNUS SP.",NA
377,"DECAPTERUS SP.","DECAPTERUS SP.",NA
378,"GLOSSANODON SP.","GLOSSANODON SP.",NA
379,"CYCLOPSETTA SP.","CYCLOPSETTA SP.",NA
380,"HOLOCANTHUS SP.","HOLOCANTHUS SP.",NA
381,"SYMPHYSANODON SP.","SYMPHYSANODON SP.",NA
382,"MONOLENE SP.","MONOLENE SP.",NA
383,"EVERMANELLA BALBOA","EVERMANELLA BALBOA",NA
384,"ANTIGONIA CAPROS","DEEPBODY BOARFISH",NA
385,"MONOLENE SESSILICAUDA","DEEPWATER FLOUNDER",NA
386,"ETROPUS MICROSTOMUS","SMALLMOUTH FLOUNDER",NA
387,"CITHARICHTHYS CORNUTUS","HORNED WHIFF",NA
388,"CITHARICHTHYS GYMNORHINUS","CITHARICHTHYS GYMNORHINUS",NA
389,"ICHTHYOCOCCUS OVATUS","ICHTHYOCOCCUS OVATUS",NA
390,"MARGRETHIA OBTUSIROSTRA","MARGRETHIA OBTUSIROSTRA",NA
391,"FLAGELLOSTOMIAS BOUREEI","FLAGELLOSTOMIAS BOUREEI",NA
392,"CHIROSTOMIAS PLIOPTERUS","CHIROSTOMIAS PLIOPTERUS",NA
393,"EUSTOMIAS BIGELOWI","EUSTOMIAS BIGELOWI",NA
394,"EUSTOMIAS LIPOCHIRUS","EUSTOMIAS LIPOCHIRUS",NA
395,"MACROSTOMIAS LONGIBARBATUS","MACROSTOMIAS LONGIBARBATUS",NA
396,"PHOTOSTOMIAS GUERNEI","PHOTOSTOMIAS GUERNEI",NA
397,"ANTENNARIUS OCELLATUS","OCELLATED FROGFISH",NA
398,"ANTENNARIIDAE F.","FROGFISHES (NS)",NA
399,"HISTRIO HISTRIO","SARGASSUMFISH",NA
400,"LOPHIUS AMERICANUS","MONKFISH,GOOSEFISH,ANGLER",177
401,"CERATIAS HOLBOELLI","DEEPSEA ANGLER",NA
402,"CRYPTOPSARAS COUESI","TRIPLE WART SEA DEVIL",NA
403,"HIMANTOLOPHUS GROENLANDICUS","ATLANTIC FOOTBALLFISH",NA
404,"HIMANTOLOPHUS SP.","HIMANTOLOPHUS SP.",NA
405,"CAULOPHRYNE JORDANI","CAULOPHRYNE JORDANI",NA
406,"LINOPHRYNE ALGIBARBATA","LINOPHRYNE ALGIBARBATA",NA
407,"LINOPHRYNE CORONATA","LINOPHRYNE CORONATA",NA
408,"LINOPHRYNE LUCIFERA","LINOPHRYNE LUCIFERA",NA
409,"MALACOCEPHALUS OCCIDENTALIS","AMERICAN STRAPTAIL GRENADIER",NA
410,"NEZUMIA BAIRDII","MARLIN-SPIKE GRENADIER",NA
411,"MACROURUS BERGLAX","ROUGHHEAD GRENADIER",182
412,"TRACHYRINCUS MURRAYI","ROUGHNOSE GRENADIER",NA
413,"CAELORINCHUS CAELORINCHUS","LONGNOSE GRENADIER",NA
414,"CORYPHAENOIDES RUPESTRIS","ROCK GRENADIER(ROUNDNOSE)",179
415,"CAULOPHRYNIDAE F.","CAULOPHRYNIDAE",NA
416,"MACROURIDAE F.","GRENADIERS (NS)",NA
417,"HETEROPHOTUS SP.","HETEROPHOTUS SP.",NA
418,"GIGANTACTIS SP.","GIGANTACTIS",NA
419,"PHOTONECTES MARGARITA","PHOTONECTES MARGARITA",NA
420,"GERREIDAE F.","MOJARRA (NS)",NA
421,"MICROSTOMA MICROSTOMA","MICROSTOMA MICROSTOMA",NA
422,"ARGYROPELECUS AFFINIS","ARGYROPELECUS AFFINIS",NA
423,"DIAPHUS LUCIDUS","DIAPHUS LUCIDUS",NA
424,"DIAPHUS GARMANI","DIAPHUS GARMANI",NA
425,"MURAENIDAE F.","EELS,MORAY (NS)",NA
426,"ANARCHIAS YOSHIAE","PYGMY MORAY",NA
427,"GYMNOTHORAX SP.","GYMNOTHORAX SP.",NA
428,"DIAPHUS BRACHYCEPHALUS","DIAPHUS BRACHYCEPHALUS",NA
429,"CONGRIDAE F.","EELS,CONGER",NA
430,"ARIOSOMA SP.","ARIOSOMA SP.",NA
431,"CONGER SP.","CONGER SP.",NA
432,"HILDEBRANDIA SP.","HILDEBRANDIA SP.",NA
433,"NYSTACTICHTHYS SP.","NYSTACTICHTHYS SP.",NA
434,"PARACONGER SP.","PARACONGER SP.",NA
435,"PSEUDOPHICHTHUS SPLENDENS","PSEUDOPHICHTHUS SPLENDENS",NA
436,"RHECHIAS SP.","RHECHIAS SP.",NA
437,"UROCONGER SP.","UROCONGER SP.",NA
438,"UROCONGER SYRINGINUS","UROCONGER SYRINGINUS",NA
439,"DIAPHUS SPLENDIDUS","DIAPHUS SPLENDIDUS",NA
440,"OPHICHTHIDAE F.","SNAKE EELS (NS)",NA
441,"AHLIA EGMONTIS","AHLIA EGMONTIS",NA
442,"APTERICHTUS ANSP","ACADEMY EEL",NA
443,"APTERICHTUS KENDALLI","FINLESS EEL",NA
444,"BASCANICHTHYS BASCANIUM","BASCANICHTHYS BASCANIUM",NA
445,"CALLECHELYS SP.","CALLECHELYS SP.",NA
446,"CALLECHELYS MURAENA","CALLECHELYS MURAENA",NA
447,"ECHIOPHIS SP.","ECHIOPHIS SP.",NA
448,"MYROPHIS PLATYRHYNCHUS","MYROPHIS PLATYRHYNCHUS",NA
449,"MYROPHIS PUNCTATUS","MYROPHIS PUNCTATUS",NA
450,"OPHICHTHUS SP.","OPHICHTHUS SP.",NA
451,"OPHICHTHUS GOMESI","SHRIMP EEL",NA
452,"OPHICHTHUS OCELLATUS","EEL,PALESPOTTED",NA
453,"DIAPHUS BERTELSENI","DIAPHUS BERTELSENI",NA
454,"LOWEINA RARA","LOWEINA RARA",NA
455,"SYNAPHOBRANCHIDAE F.","EELS, CUTTHROAT (NS)",NA
456,"SYNAPHOBRANCHINAE S.F.","SYNAPHOBRANCHINAE S.F.",NA
457,"SIMENCHELYINAE S.F.","EELS,SNUBNOSE (NS)",NA
458,"DYSOMMINAE S.F.","DYSOMMINAE S.F.",NA
459,"DYSOMMA SP.","DYSOMMA SP.",NA
460,"LAMPANYCTUS INTRICARIUS","LAMPANYCTUS INTRICARIUS",NA
461,"LAMPADENA ATLANTICA","LAMPADENA ATLANTICA",NA
462,"BOLINICHTHYS SUPRALATERALIS","BOLINICHTHYS SUPRALATERALIS",NA
463,"NEMICHTHYIDAE F.","EELS,SNIPE (NS)",NA
464,"NEMICHTHYS SP.","NEMICHTHYS SP.",NA
465,"LAMPANYCTUS PHOTONOTUS","LAMPANYCTUS PHOTONOTUS",NA
466,"DIOGENICHTHYS ATLANTICUS","DIOGENICHTHYS ATLANTICUS",NA
467,"HYGOPHUM TAANINGI","HYGOPHUM TAANINGI",NA
468,"CERATOSCOPELUS WARMINGII","CERATOSCOPELUS WARMINGII",NA
469,"LEPIDOPHANES GAUSSI","LEPIDOPHANES GAUSSI",NA
470,"MORINGUIDEA F.","MORINGUIDEA F.",NA
471,"MORGINUA EDWARDSI","MORGINUA EDWARDSI",NA
472,"NEOCONGER MUCRONATUS","NEOCONGER MUCRONATUS",NA
473,"BENTHOSEMA SUBORBITALE","BENTHOSEMA SUBORBITALE",NA
