SPECCD_ID,SCIENTIFIC,COMMON,MARFIS_CODE,MARFIS_COMM,,SPECIES_CODE,SPECIES_NAME,,,,,
57,PHYCINAE S.F.,PHYCINAE S.F.,,,,742,OFFSHORE/MULTI CRABS (LIC ONLY),,,,,
58,ANCHOA HEPSETUS,STRIPED ANCHOVY,,,,743,JONAH/ROCK,,,,,
59,ANARHICHADIDAE F.,"WOLFFISH,UNIDENT.",194,"WOLFFISH, UNSPECIFIED",,799,"CRUSTACEANS, UNSPECIFIED",,,,,
60,CLUPEA HARENGUS,HERRING(ATLANTIC),200,HERRING,,800,SEAL SKINS/HARP/WHITE COAT (NO.),,,,,
61,ALOSA SAPIDISSIMA,SHAD AMERICAN,355,SHAD,,801,SEAL SKINS/HARP/RAG.JACKET (NO.),,,,,
62,ALOSA PSEUDOHARENGUS,ALEWIFE,350,ALEWIVES/GASPEREAU,,802,SEAL SKINS/HARP/BEATER (NO.),,,,,
63,OSMERUS MORDAX,RAINBOW SMELT,,,,803,SEAL SKINS/HARP/BEDLAMER (NO.),,,,,
64,MALLOTUS VILLOSUS,CAPELIN,360,CAPELIN,,804,SEAL SKINS/HARP/OLD (NO.),,,,,
65,SALMO SALAR,SALMON(ATLANTIC),354,SALMON,,805,SEAL SKINS/HARP/UNSPECIFIED (NO.),,,,,
66,COREGONUS CLUPEAFORMIS,LAKE WHITEFISH,,,,806,SEAL SKINS/HOOD/YOUNG (NO.),,,,,
67,COREGONUS CANADENSIS,ATLANTIC WHITEFISH,,,,807,SEAL SKINS/HOOD/OLD (NO.),,,,,
68,ONCORHYNCHUS GORBUSCHA,PINK SALMON,,,,809,"SEAL SKINS, HOOD, UNSPECIFIED (NO.)",,,,,
69,SALMO GAIRDNERI,RAINBOW TROUT,,,,810,SEAL SQUARE FLIPPER,,,,,
70,SCOMBER SCOMBRUS,MACKEREL(ATLANTIC),250,MACKEREL,,811,SEAL SKINS/HARBOUR (NO.),,,,,
71,THUNNUS THYNNUS,BLUEFIN TUNA,254,"TUNA, BLUEFIN",,812,SEAL SKINS/GREY (NO.),,,,,
72,XIPHIAS GLADIUS,SWORDFISH,251,SWORDFISH,,813,SEAL SKINS/RINGED/JAR (NO.),,,,,
73,SCOMBROIDEI (SUBORDER),"TUNAS,SWORDFISHES,ETC.",,,,814,SEAL SKINS/BEARDED (NO.),,,,,
74,SERIOLA ZONATA,BANDED RUDDERFISH,,,,815,SEAL SKINS/GREENLAND (NO.),,,,,
75,SALMO TRUTTA,BROWN TROUT,,,,825,SEAL SKINS/UNSPECIFIED (NO.),,,,,
76,SALVELINUS ALPINUS,ARCTIC CHAR,361,ARCTIC CHAR,,846,SEAL PENIS (NO.),,,,,
77,SALVELINUS FONTINALIS,BROOK TROUT,,,,847,SEAL FLIPPERS (NO.),,,,,
78,COOKEOLUS BOOPS,BULLEYE,,,,848,SEAL DADDLES,,,,,
79,PRIACANTHUS CRUENTATUS,GLASSEYE SNAPPER,,,,860,SEAL HEARTS,,,,,
80,DECAPTERUS PUNCTATUS,ROUND SCAD,,,,861,SEAL LIVERS,,,,,
81,POMATOMUS SALTATRIX,BLUEFISH,,,,862,SEAL SHOULDERS,,,,,
82,ECHENEIS NAUCRATES,SHARKSUCKER,,,,866,SEAL OIL,,,,,
83,REMORA BRACHYPTERA,SPEARFISH REMORA,,,,870,"SEAL PRODUCTS, UNSPECIFIED",,,,,
84,REMORA REMORA,REMORA,,,,875,"PORPOISE, HARBOUR",,,,,
85,CARANX CRYSOS,BLUE RUNNER,,,,885,"WHALES, FIN",,,,,
86,CARANX HIPPOS,CREVALLE JACK,,,,886,"WHALES, SEI",,,,,
87,DECAPTERUS MACARELLUS,MACKEREL SCAD,,,,887,"WHALES, SPERM",,,,,
88,NAUCRATES DUCTOR,PILOTFISH,,, ,888,"WHALES, OTHER BALEEN",,,,,
89,SELAR CRUMENOPHTHALMUS,BIGEYE SCAD,,,,889,"WHALES, MINKE",,,,,
90,"UNID. FISH (LARVAE,JUVENILE AND ADULTS)",UNID. FISH,,,,890,"WHALES, POTHEAD",,,,,
91,SELENE VOMER,ATLANTIC LOOKDOWN,,,,891,"WHALES, BEAKED",,,,,
92,SERIOLA DUMERILI,GREATER AMBERJACK,,,,900,DULSE,,,,,
93,TRACHURUS TRACHURUS,HORSE MACKEREL,,,,901,IRISH MOSS,,,,,
94,VOMER SETAPINNIS,ATLANTIC MOONFISH,,,,902,KELP,,,,,
95,BRAMA BRAMA,ATLANTIC POMFRET,,,,903,FUNDY MOSS,,,,,
96,TARACTICHTHYS LONGIPINNIS,BIGSCALE POMFRET,,,,904,WIREWEED/HORSETAIL,,,,,
97,CARISTIUS GROENLANDICUS,GREENLAND MANEFISH,,,,905,MOSS UNSPECIFIED,,,,,
98,LUTJANUS SP.,LUTJANUS SP.,,,,906,ROCKWEED,,,,,
99,ARCHOSARGUS PROBATOCEPHALUS,SHEEPSHEAD,,,,907,MARINE PLANT,,,,,
100,FINFISHES (NS),FINFISHES (NS),,,,908,NORI MOSS,,,,,
101,GADOIDEI S.O.,GADOIDS,,,,921,HERRING SCALES,,,,,
102,STENOTOMUS CHRYSOPS,SCUP,,,,922,ROES,,,,,
103,CYNOSCION REGALIS,WEAKFISH,,,,923,LOBSTER - GREY ZONE,,,,,
104,POGONIAS CROMIS,BLACK DRUM,,,,927,CAVIAR,,,,,
105,MULLUS AURATUS,RED GOATFISH,,,,928,LUMPFISH ROE,,,,,
106,KYPHOSUS SECTATRIX,BERMUDA CHUB,,,,930,"SEA URCHINS, ROE",,,,,
107,CHAETODON OCELLATUS,SPOTFIN BUTTERFLYFISH,,,,931,HERRING ROE,,,,,
108,LEPIDION EQUES,LEPIDION EQUES,,,,933,"ROE, COD",,,,,
109,HALARGYREUS JOHNSONII,DAINTY MORA,,,,937,SEALS/HOOD/JAR,,,,,
110,BOREOGADUS SAIDA,ARCTIC COD,102,ARCTIC COD,,939,SAND WORMS,,,,,
111,UROPHYCIS REGIA,SPOTTED HAKE,,,,940,BLOOD WORMS,,,,,
112,UROPHYCIS CHESTERI,LONGFIN HAKE,,,,941,COD LIVERS,,,,,
113,ANTIMORA ROSTRATA,BLUE ANTIMORA/HAKE,,,,942,"LIVERS, COD PRESERVED",,,,,
114,ENCHELYOPUS CIMBRIUS,FOURBEARD ROCKLING,,,,943,"LIVERS, SHARK",,,,,
115,GAIDROPSARUS ENSIS,THREEBEARD ROCKLING,,,,944,"LIVERS, UNSPECIFIED",,,,,
116,GAIDROPSARUS ARGENTATUS,SILVER ROCKLING,,,,950,SHARK TAILS,,,,,
117,MICROMESISTIUS POUTASSOU,BLUE WHITING,,,,951,"CLAMS, STIMPSON SURF MANTLE",,,,,
118,GADUS OGAC,GREENLAND COD,,,,952,"TONGUE, SOUNDS AND CHEEKS",,,,,
119,GAIDROPSARUS SP.,ROCKLING UNIDENTIFIED,,,,954,SQUID TENTACLES,,,,,
120,MORONE AMERICANA,WHITE PERCH,,,,955,CUTTLEFISH,,,,,
121,CENTROPRISTIS STRIATA,SOUTHERN SEA BASS,,,,956,"FINS, FISH UNSPECIFIED",,,,,
122,TAUTOGOLABRUS ADSPERSUS,CUNNER,121,CUNNER,,957,"FINS, SHARK",,,,,
123,HELICOLENUS DACTYLOPTERUS,ROSEFISH(BLACK BELLY),,,,958,GEODUCKS,,,,,
124,CENTROBRANCHUS NIGRO-OCELLATUS,CENTROBRANCHUS NIGRO-OCEL,,,,960,MACKEREL HEADS,,,,,
125,DIAPHUS EFFULGENS,DIAPHUS EFFULGENS,,,,961,"LIVER OIL, COD",,,,,
126,DIAPHUS PERSPICILLATUS,DIAPHUS PERSPICILLATUS,,,,962,"LIVER OIL, UNSPECIFIED",,,,,
127,DIAPHUS LUETKENI,DIAPHUS LUETKENI,,,,968,SMALLMOUTH BASS,,,,,
128,DIAPHUS MOLLIS,DIAPHUS MOLLIS,,,,969,RAINBOW SMELT (LAKE UTOPIA),,,,,
129,DIAPHUS RAFINESQUII,DIAPHUS RAFINESQUII,,,,972,"SEA TURTLES, UNSPECIFIED",,,,,
130,DIAPHUS TERMOPHILUS,DIAPHUS TERMOPHILUS,,,,973,STICKLEBACK,,,,,
131,ELECTRONA RISSOI,ELECTRONA RISSOI,,,,992,ZEBRAFISH,,,,,
132,GONICHTHYS COCCOI,COCCO'S LANTERNFISH,,,,993,ATLANTIC WHITEFISH,,,,,
133,PROTOMYCTOPHUM ARCTICUM - OBSOLETE,PROTOMYCTOPHUM ARCTICUM,,,,994,"SEA BASS, EUROPEAN",,,,,
134,HYGOPHUM BENOITI,BENOIT'S LANTERNFISH,,,,995,ARCTIC CHARR,,,,,
135,HYGOPHUM HYGOMI,HYGOPHUM HYGOMI,,,,996,MUSKELLUNGE,,,,,
136,HYGOPHUM MACROCHIR,HYGOPHUM MACROCHIR,,,,997,INVERTEBRATES,,,,,
137,LAMPADENA LUMINOSA,LAMPADENA NITIDA,,,,998,FINFISH,,,,,
138,LAMPADENA SPECULIGERA,MIRROR LANTERNFISH,,,,999,ITEMS UNSPECIFIED,,,,,
139,LAMPANYCTUS ALATUS,LAMPANYCTUS ALATUS,,,,,,,,,,
140,LIOPSETTA PUTNAMI,SMOOTH FLOUNDER,,,,,,,,,,
141,PARALICHTHYS DENTATUS,SUMMER FLOUNDER,146,SUMMER FLOUNDER,,,,,,,,
142,HIPPOGLOSSINA OBLONGA,FOURSPOT FLOUNDER,,,,,,,,,,
143,SCOPHTHALMUS AQUOSUS,BRILL/WINDOWPANE,145,WINDOWPANE,,,,,,,,
144,LAMPANYCTUS CROCODILUS,JEWEL LANTERNFISH,,,,,,,,,,
145,LAMPANYCTUS FESTIVUS,LAMPANYCTUS FESTIVUS,,,,,,,,,,
146,LAMPANYCTUS MACDONALDI,LAMPANYCTUS MACDONALDI,,,,,,,,,,
147,LAMPANYCTUS PUSILLUS,LAMPANYCTUS PUSILLUS,,,,,,,,,,
148,BATHYPTEROIS DUBIUS,NOTCH FEELERFISH,,,,,,,,,,
149,PARASUDIS TRUCULENTA,LONGNOSE GREENEYE,,,,,,,,,,
150,MYCTOPHIDAE,LANTERNFISH (NS),,,,,,,,,,
151,STOMIIDAE,STOMIATOID UNIDENTIFIED,,,,,,,,,,
152,DIAPHUS DUMERILI,LANTERNFISH,,,,,,,,,,
153,ARGENTINOIDEI S.O.,ARGENTINOID (NS),,,,,,,,,,
154,CYCLOTHONE MICRODON,VEILED ANGLE MOUTH,,,,,,,,,,
155,GONOSTOMA ELONGATUM,LONGTOOTH ANGLEMOUTH,,,,,,,,,,
156,CHLOROPHTHALMUS AGASSIZI,SHORT-NOSE GREENEYE,,,,,,,,,,
157,BENTHOSEMA GLACIALE,GLACIER LANTERNFISH,,,,,,,,,,
158,MAUROLICUS MUELLERI,MULLER'S PEARLSIDES,,,,,,,,,,
159,STOMIAS BOA,BOA DRAGONFISH,,,,,,,,,,
160,ARGENTINA SILUS,ARGENTINE(ATLANTIC),351,ARGENTINE,,,,,,,,
161,ARGENTINA STRIATA,STRIATED ARGENTINE,,,,,,,,,,
162,NANSENIA GROENLANDICA,ARGENTINE.LARGE-EYED,,,,,,,,,,
163,CERATOSCOPELUS MADERENSIS,"LANTERNFISH,HORNED",,,,,,,,,,
164,BREVOORTIA TYRANNUS,MENHADEN(ATLANTIC),210,MENHADEN,,,,,,,,
165,ALOSA AESTIVALIS,BLUEBACK HERRING,,,,,,,,,,
166,ETRUMEUS TERES,ROUND HERRING,,,,,,,,,,
167,MEGALOPS ATLANTICUS,TARPON,,,,,,,,,,
168,DIAPHUS METOPOCLAMPUS,HEADLIGHT FISH,,,,,,,,,,
169,CHAULIODUS SLOANI,VIPERFISH,,,,,,,,,,
170,SCOMBER JAPONICUS,CHUB MACKEREL,,,,,,,,,,
171,SCOMBEROMORUS MACULATUS,SPANISH MACKEREL,,,,,,,,,,
172,EUTHYNNUS PELAMIS,STRIPED BONITO/SKIPJACK,255,"TUNA, SKIPJACK",,,,,,,,
173,EUTHYNNUS ALLETTERATUS,FALSE ALBACORE,,,,,,,,,,
174,CARANGIDAE,JACK,,,,,,,,,,
175,ALBULA VULPES,BONEFISH,,,,,,,,,,
176,BATHYLAGUS EURYOPS,GOITRE BLACKSMELT,,,,,,,,,,
177,MALACOSTEUS NIGER,LOOSEJAW,,,,,,,,,,
178,LOBIANCHIA GEMELLERII,LOBIANCHIA GEMELLERII,,,,,,,,,,
179,MYCTOPHUM AFFINE,METALLIC LANTERNFISH,,,,,,,,,,
180,MYCTOPHUM PUNCTATUM,SPOTTED LANTERNFISH,,,,,,,,,,
181,NOTOLYCHNUS VALDIVIAE,NOTOLYCHNUS VALDIVIAE,,,,,,,,,,
182,NOTOSCOPELUS ELONGATUS KROYERI,LANTERNFISH KROYER'S,,,,,,,,,,
183,NOTOSCOPELUS RESPLENDENS,LANTERNFISH PATCHWORK,,,,,,,,,,
184,SYMBOLOPHORUS VERANYI,LARGESCALE LANTERNFISH,,,,,,,,,,
185,TAANINGICHTHYS BATHYPHILUS,TAANINGICHTHYS BATHYPHILU,,,,,,,,,,
186,TAANINGICHTHYS MINIMUS,TAANINGICHTHYS MINIMUS,,,,,,,,,,
187,AUXIS THAZARD,FRIGATE MACKEREL,,,,,,,,,,
188,SARDA SARDA,ATLANTIC BONITO,,,,,,,,,,
189,SCOMBEROMORUS  CAVALLA,KING MACKEREL,,,,,,,,,,
190,THUNNUS ALALUNGA,ALBACORE TUNA,252,"TUNA, ALBACORE",,,,,,,,
191,THUNNUS ALBACARES,YELLOWFIN TUNA,256,"TUNA, YELLOWFIN",,,,,,,,
192,THUNNUS OBESUS,BIGEYE TUNA,253,"TUNA, BIGEYE",,,,,,,,
193,UROPHYCIS SP.,HAKE (NS),,,,,,,,,,
194,MORIDAE,MORAS,,,,,,,,,,
195,ENCHELYOPUS/UROPHYCIS SP.,ROCKLING HAKE,,,,,,,,,,
196,BOTHIDAE F.,LEFTEYE FLOUNDER,,,,,,,,,,
197,SCARIDAE F.,PARROTFISH,,,,,,,,,,
198,SYACIUM SP.,CHANNEL FLOUNDER,,,,,,,,,,
199,LABROIDEI S.O.,LABROIDEI S.O.,,,,,,,,,,
200,DIPTURUS LAEVIS,BARNDOOR SKATE,157,"SKATE, BARNDOOR",,,,,,,,
201,AMBLYRAJA RADIATA,THORNY SKATE,155,"SKATE, STARRY RAY (THORNY)",,,,,,,,
202,MALACORAJA SENTA,SMOOTH SKATE,154,"SKATE, SMOOTH",,,,,,,,
203,LEUCORAJA ERINACEA,LITTLE SKATE,159,"SKATE, LITTLE",,,,,,,,
204,LEUCORAJA OCELLATA,WINTER SKATE,156,"SKATE, WINTER",,,,,,,,
205,BATHYRAJA SPINICAUDA,SPINYTAIL SKATE,153,"SKATE, SPINETAIL RAY",,,,,,,,
206,RAJA EGLANTERIA,BRIER SKATE,,,,,,,,,,
207,RAJELLA FYLLAE,ROUND SKATE,,,,,,,,,,
208,RAJA MOLLIS,SOFT SKATE,,,,,,,,,,
209,RAJA JENSENI,JENSEN'S SKATE,,,,,,,,,,
210,RAJA HYPERBOREA,ARCTIC SKATE,158,"SKATE, ARCTIC",,,,,,,,
211,RAJIDAE F.,SKATES (NS),160,SKATE,,,,,,,,
212,RAJA BATHYPHILA,ABYSSAL SKATE,,,,,,,,,,
213,DASYATIS CENTROURA,ROUGHTAIL STINGRAY,,,,,,,,,,
214,MYLIOBATIFORMES O. (NS),RAYS (NS),,,,,,,,,,
215,CARCHARIAS TAURUS,"SHARK, SAND",,,,,,,,,,
216,TORPEDO NOBILIANA,ATLANTIC TORPEDO,152,"SKATE, TORPEDO RAY",,,,,,,,
217,RAJA LINTEA,WHITE SKATE,,,,,,,,,,
218,DASYATIS VIOLACEA,PELAGIC STINGRAY,,,,,,,,,,
219,RAJIFORMES,SKATES AND RAYS (NS),,,,,,,,,,
220,SQUALUS ACANTHIAS,SPINY DOGFISH,161,DOGFISH,,,,,,,,
221,CENTROSCYLLIUM FABRICII,BLACK DOGFISH,162,"DOGFISH, BLACK",,,,,,,,
222,MUSTELUS CANIS,SMOOTH DOGFISH,,,,,,,,,,
223,CENTROSCYMNUS COELOLEPIS,PORTUGUESE SHARK,,,,,,,,,,
224,ETMOPTERUS PRINCEPS,ROUGH SAGRE,,,,,,,,,,
225,MANTA BIROSTRIS,ATLANTIC MANTA,,,,,,,,,,
226,PROTOMYCTOPHUM ARCTICUM,PROTOMYCTOPHUM ARCTICUM,,,,,,,,,,
227,NOTOSCOPELUS SP.,NOTOSCOPELUS SP.,,,,,,,,,,
228,LEPIDOPHANES GUENTHERI,LEPIDOPHANES GUENTHERI,,,,,,,,,,
229,DIAPHUS SP.,DIAPHUS SP.,,,,,,,,,,
230,LAMNA NASUS,"PORBEAGLE,MACKEREL SHARK",369,"SHARK, PORBEAGLE/MACKEREL",,,,,,,,
231,PRIONACE GLAUCA,BLUE SHARK,372,"SHARK, BLUE",,,,,,,,
232,CARCHARODON CARCHARIAS,WHITE SHARK,380,"SHARK, WHITE",,,,,,,,
233,CETORHINUS MAXIMUS,BASKING SHARK,371,"SHARK, BASKING",,,,,,,,
234,ALOPIAS VULPINUS,THRESHER SHARK,373,"SHARK, THRESHER",,,,,,,,
235,RHIZOPRIONODON TERRAENOVAE,ATLANTIC SHARPNOSE SHARK,378,"SHARK, ATLANTIC SHARPNOSE",,,,,,,,
236,SPHYRNA ZYGAENA,"SMOOTH,HAMMERHEAD SHARK",,,,,,,,,,
237,SOMNIOSUS MICROCEPHALUS,GREENLAND SHARK,370,"SHARK, GREENLAND",,,,,,,,
238,ISURUS OXYRINCHUS,SHORTFIN MAKO,375,"SHARK, MAKO",,,,,,,,
239,APRISTURUS PROFUNDORUM,DEEPSEA CAT SHARK,,,,,,,,,,
240,PETROMYZON MARINUS,SEA LAMPREY,,,,,,,,,,
241,MYXINE GLUTINOSA,NORTHERN HAGFISH,197,HAGFISH (SLIME EEL),,,,,,,,
242,HYDROLAGUS AFFINIS,DEEPWATER CHIMAERA,,,,,,,,,,
243,ACIPENSER OXYRHYNCHUS,AMERICAN ATLANT STURGEON,,,,,,,,,,
244,CARCHARHINUS LONGIMANUS,OCEANIC WHITETIP SHARK,,,,,,,,,,
245,CARCHARHINUS MILBERTI,SANDBAR SHARK,,,,,,,,,,
246,CARCHARHINUS OBSCURUS,DUSKY SHARK,377,"SHARK, DUSKY",,,,,,,,
247,HARRIOTTA RALEIGHANA,LONGNOSE CHIMERA,,,,,,,,,,
248,RHINOCHIMAERA ATLANTICA,KNIFENOSE CHIMERA,,,,,,,,,,
249,ACIPENSER BREVIROSTRUM,SHORTNOSE STURGEON,,,,,,,,,,
250,LEPISOSTEUS OSSEUS,LONGNOSE GAR,,,,,,,,,,
251,GADIDAE F.,GADOIDS (COD),,,,,,,,,,
252,LAMPANYCTUS SP.,LAMPANYCTUS SP.,,,,,,,,,,
253,GROUNDFISH (NS),GROUNDFISH (NS),,,,,,,,,,
254,ANCHOA MITCHILLI,BAY ANCHOVY,,,,,,,,,,
255,ISTIOPHORUS PLATYPTERUS,SAILFISH,,,,,,,,,,
256,PELAGIC FISH (NS),PELAGIC FISH (NS),,,,,,,,,,
257,SERIOLA SP.,AMBERJACKS,,,,,,,,,,
258,MICROPOGONIAS UNDULATUS,ATLANTIC CROAKER,,,,,,,,,,
259,STRONGYLURA MARINA,ATLANTIC NEEDLEFISH,,,,,,,,,,
260,OPISTHONEMA OGLINUM,ATLANTIC THREAD HERRING,,,,,,,,,,
261,TRACHINOTUS CAROLINUS,COMMON POMPANO,,,,,,,,,,
262,DOROSOMA CEPEDIANUM,GIZZARD SHAD,,,,,,,,,,
263,POMADASYIDAE F.,GRUNTS (GRUNTERS),,,,,,,,,,
264,ALOSA MEDIOCRIS,HICKORY SHAD,,,,,,,,,,
265,MUGILIDAE F.,MULLETS,,,,,,,,,,
266,ORTHOPRISTIS CHRYSOPTERA,PIGFISH,,,,,,,,,,
267,SCIAENOPS OCELLATUS,RED DRUM,,,,,,,,,,
268,PAGRUS  PAGRUS,RED PORGY,,,,,,,,,,
269,TRACHURUS LATHAMI,ROUGH SCAD,,,,,,,,,,
270,LEIOSTOMUS XANTHURUS,SPOT CROAKER,,,,,,,,,,
271,CYNOSCION NEBULOSUS,SPOTTED WEAKFISH,,,,,,,,,,
272,ACIPENSERIDAE F.,STURGEONS,,,,,,,,,,
273,SALMO SP.,TROUTS,,,,,,,,,,
274,SQUALIDAE F.,DOGFISHES (NS),,,,,,,,,,
275,SELACHII (CHONDRICHTHYES) C.,CARTILAGINOUS FISHES,,,,,,,,,,
276,BATHYLAGIDAE F.,DEEPSEA SMELTS (NS),,,,,,,,,,
277,TRICHOPSETTA SP.,TRICHOPSETTA SP.,,,,,,,,,,
278,SCORPAENA SP.,ROCKFISHES (NS),,,,,,,,,,
279,SYMBOLOPHORUS SP.,SYMBOLOPHORUS SP.,,,,,,,,,,
280,SCORPAENIDAE F.,SCORPIONFISHES,,,,,,,,,,
281,ALOSA SP.,ALOSA SP.,,,,,,,,,,
282,SYACIUM MICRURUM,CHANNEL FLOUNDER,,,,,,,,,,
283,SEBASTES FASCIATUS,LABRADOR REDFISH,,,,,,,,,,
284,LAMPANYCTUS ATER,LAMPANYCTUS ATER,,,,,,,,,,
285,NAUCRATES SP.,NAUCRATES SP.,,,,,,,,,,
286,BENTHOSEMA SP.,BENTHOSEMA SP.,,,,,,,,,,
